Top 500 latents with highest separation scores (ascending order):
Format: Latent_idx: Score (f_suffix, f_original)
391. Latent 1929:  0.220 ( 0.480,  0.260)
392. Latent   35:  0.220 ( 0.230,  0.010)
393. Latent  553:  0.220 ( 0.270,  0.050)
394. Latent  918:  0.220 ( 0.230,  0.010)
395. Latent 1055:  0.220 ( 0.330,  0.110)
396. Latent 1114:  0.220 ( 0.230,  0.010)
397. Latent 1446:  0.220 ( 0.230,  0.010)
398. Latent 1615:  0.220 ( 0.430,  0.210)
399. Latent 1757:  0.220 ( 0.230,  0.010)
400. Latent 1865:  0.220 ( 0.270,  0.050)
401. Latent 1067:  0.220 ( 0.920,  0.700)
402. Latent  720:  0.210 ( 0.940,  0.730)
403. Latent 1962:  0.210 ( 0.930,  0.720)
404. Latent  536:  0.210 ( 0.280,  0.070)
405. Latent 1316:  0.210 ( 0.280,  0.070)
406. Latent 1513:  0.210 ( 0.280,  0.070)
407. Latent 1629:  0.210 ( 0.310,  0.100)
408. Latent 1653:  0.210 ( 0.310,  0.100)
409. Latent 1725:  0.210 ( 0.560,  0.350)
410. Latent   13:  0.210 ( 0.210,  0.000)
411. Latent   69:  0.210 ( 0.210,  0.000)
412. Latent  340:  0.210 ( 0.320,  0.110)
413. Latent  341:  0.210 ( 0.210,  0.000)
414. Latent  513:  0.210 ( 0.230,  0.020)
415. Latent  653:  0.210 ( 0.220,  0.010)
416. Latent  988:  0.210 ( 0.350,  0.140)
417. Latent 1026:  0.210 ( 0.390,  0.180)
418. Latent 1034:  0.210 ( 0.230,  0.020)
419. Latent 1290:  0.210 ( 0.210,  0.000)
420. Latent 1305:  0.210 ( 0.240,  0.030)
421. Latent 1361:  0.210 ( 0.230,  0.020)
422. Latent 1373:  0.210 ( 0.220,  0.010)
423. Latent 1387:  0.210 ( 0.420,  0.210)
424. Latent 1445:  0.210 ( 0.230,  0.020)
425. Latent 1891:  0.210 ( 0.210,  0.000)
426. Latent 1909:  0.210 ( 0.350,  0.140)
427. Latent  127:  0.210 ( 0.270,  0.060)
428. Latent 1143:  0.210 ( 0.980,  0.770)
429. Latent 1210:  0.210 ( 0.520,  0.310)
430. Latent 1223:  0.210 ( 0.830,  0.620)
431. Latent 1722:  0.210 ( 0.710,  0.500)
432. Latent  290:  0.200 ( 0.220,  0.020)
433. Latent  355:  0.200 ( 0.250,  0.050)
434. Latent  612:  0.200 ( 0.250,  0.050)
435. Latent 1006:  0.200 ( 0.350,  0.150)
436. Latent 1750:  0.200 ( 0.350,  0.150)
437. Latent 1768:  0.200 ( 0.370,  0.170)
438. Latent 1780:  0.200 ( 0.250,  0.050)
439. Latent 1837:  0.200 ( 0.280,  0.080)
440. Latent 1857:  0.200 ( 0.220,  0.020)
441. Latent 1999:  0.200 ( 0.220,  0.020)
442. Latent 2027:  0.200 ( 0.220,  0.020)
443. Latent   94:  0.200 ( 0.390,  0.190)
444. Latent  139:  0.200 ( 0.200,  0.000)
445. Latent  325:  0.200 ( 0.270,  0.070)
446. Latent  346:  0.200 ( 0.260,  0.060)
447. Latent  350:  0.200 ( 0.260,  0.060)
448. Latent  393:  0.200 ( 0.200,  0.000)
449. Latent  481:  0.200 ( 0.200,  0.000)
450. Latent  504:  0.200 ( 0.400,  0.200)
451. Latent  575:  0.200 ( 0.200,  0.000)
452. Latent  686:  0.200 ( 0.300,  0.100)
453. Latent  812:  0.200 ( 0.330,  0.130)
454. Latent  923:  0.200 ( 0.260,  0.060)
455. Latent  934:  0.200 ( 0.200,  0.000)
456. Latent  958:  0.200 ( 0.200,  0.000)
457. Latent  979:  0.200 ( 0.400,  0.200)
458. Latent 1330:  0.200 ( 0.260,  0.060)
459. Latent 1625:  0.200 ( 0.710,  0.510)
460. Latent 1846:  0.200 ( 0.300,  0.100)
461. Latent 1946:  0.200 ( 0.230,  0.030)
462. Latent 1347:  0.200 ( 0.540,  0.340)
463. Latent  101:  0.190 ( 0.190,  0.000)
464. Latent  118:  0.190 ( 0.410,  0.220)
465. Latent  131:  0.190 ( 0.240,  0.050)
466. Latent  144:  0.190 ( 0.700,  0.510)
467. Latent  348:  0.190 ( 0.420,  0.230)
468. Latent  386:  0.190 ( 0.190,  0.000)
469. Latent  498:  0.190 ( 0.260,  0.070)
470. Latent  588:  0.190 ( 0.190,  0.000)
471. Latent  628:  0.190 ( 0.190,  0.000)
472. Latent  785:  0.190 ( 0.750,  0.560)
473. Latent  863:  0.190 ( 0.230,  0.040)
474. Latent  915:  0.190 ( 0.190,  0.000)
475. Latent 1311:  0.190 ( 0.250,  0.060)
476. Latent 1348:  0.190 ( 0.240,  0.050)
477. Latent 1414:  0.190 ( 0.190,  0.000)
478. Latent 1440:  0.190 ( 0.260,  0.070)
479. Latent 1454:  0.190 ( 0.290,  0.100)
480. Latent 1547:  0.190 ( 0.190,  0.000)
481. Latent 1561:  0.190 ( 0.190,  0.000)
482. Latent 1567:  0.190 ( 0.220,  0.030)
483. Latent 1829:  0.190 ( 0.210,  0.020)
484. Latent 2007:  0.190 ( 0.210,  0.020)
485. Latent  241:  0.190 ( 0.200,  0.010)
486. Latent 1816:  0.190 ( 0.200,  0.010)
487. Latent 2035:  0.190 ( 0.200,  0.010)
488. Latent  359:  0.180 ( 0.280,  0.100)
489. Latent  610:  0.180 ( 0.380,  0.200)
490. Latent  833:  0.180 ( 0.370,  0.190)
491. Latent  930:  0.180 ( 0.220,  0.040)
492. Latent 1320:  0.180 ( 0.220,  0.040)
493. Latent 1586:  0.180 ( 0.220,  0.040)
494. Latent 2023:  0.180 ( 0.220,  0.040)
495. Latent  115:  0.180 ( 0.240,  0.060)
496. Latent  295:  0.180 ( 0.240,  0.060)
497. Latent  564:  0.180 ( 0.180,  0.000)
498. Latent  666:  0.180 ( 0.180,  0.000)
499. Latent  668:  0.180 ( 0.260,  0.080)
500. Latent  784:  0.180 ( 0.200,  0.020)

Top 500 latents with lowest separation scores (descending order):
Format: Latent_idx: Score (f_suffix, f_original)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1. Latent 1231: -0.650 ( 0.040,  0.690)
2. Latent  398: -0.580 ( 0.310,  0.890)
3. Latent  286: -0.480 ( 0.040,  0.520)
4. Latent 1270: -0.480 ( 0.020,  0.500)
5. Latent 1247: -0.450 ( 0.140,  0.590)
6. Latent  897: -0.430 ( 0.150,  0.580)
7. Latent  747: -0.400 ( 0.290,  0.690)
8. Latent 1554: -0.390 ( 0.220,  0.610)
9. Latent 1934: -0.390 ( 0.100,  0.490)
10. Latent 1193: -0.370 ( 0.040,  0.410)
