Top 500 latents with highest separation scores (ascending order):
Format: Latent_idx: Score (f_suffix, f_original)
284. Latent 1008:  0.332 ( 0.466,  0.134)
285. Latent 1082:  0.332 ( 0.455,  0.123)
286. Latent 1724:  0.332 ( 0.631,  0.299)
287. Latent 2035:  0.332 ( 0.340,  0.007)
288. Latent  437:  0.328 ( 0.328,  0.000)
289. Latent 1856:  0.325 ( 0.392,  0.067)
290. Latent   84:  0.321 ( 0.716,  0.396)
291. Latent 1161:  0.321 ( 0.444,  0.123)
292. Latent 1454:  0.321 ( 0.433,  0.112)
293. Latent 2009:  0.321 ( 0.328,  0.007)
294. Latent  654:  0.321 ( 0.414,  0.093)
295. Latent 1028:  0.321 ( 0.347,  0.026)
296. Latent 1682:  0.321 ( 0.340,  0.019)
297. Latent 2037:  0.321 ( 0.381,  0.060)
298. Latent   29:  0.317 ( 0.399,  0.082)
299. Latent 1562:  0.317 ( 0.806,  0.489)
300. Latent 1586:  0.317 ( 0.354,  0.037)
301. Latent  496:  0.317 ( 0.418,  0.101)
302. Latent  377:  0.313 ( 0.325,  0.011)
303. Latent 1368:  0.313 ( 0.325,  0.011)
304. Latent 1150:  0.313 ( 0.459,  0.146)
305. Latent 1796:  0.313 ( 0.843,  0.530)
306. Latent  605:  0.310 ( 0.354,  0.045)
307. Latent  812:  0.310 ( 0.444,  0.134)
308. Latent  939:  0.310 ( 0.601,  0.291)
309. Latent 1258:  0.310 ( 0.362,  0.052)
310. Latent  153:  0.306 ( 0.310,  0.004)
311. Latent  225:  0.306 ( 0.384,  0.078)
312. Latent 1404:  0.306 ( 0.347,  0.041)
313. Latent 1667:  0.306 ( 0.362,  0.056)
314. Latent  234:  0.302 ( 0.425,  0.123)
315. Latent 1949:  0.302 ( 0.825,  0.522)
316. Latent 1047:  0.302 ( 0.302,  0.000)
317. Latent 1481:  0.302 ( 0.377,  0.075)
318. Latent 1255:  0.299 ( 0.668,  0.369)
319. Latent  551:  0.299 ( 0.302,  0.004)
320. Latent 1019:  0.299 ( 0.343,  0.045)
321. Latent 1186:  0.299 ( 0.373,  0.075)
322. Latent 1383:  0.299 ( 0.332,  0.034)
323. Latent 1414:  0.299 ( 0.310,  0.011)
324. Latent 1939:  0.299 ( 0.470,  0.172)
325. Latent 1977:  0.295 ( 0.388,  0.093)
326. Latent 1929:  0.295 ( 0.616,  0.321)
327. Latent   71:  0.291 ( 0.295,  0.004)
328. Latent  245:  0.291 ( 0.328,  0.037)
329. Latent  299:  0.291 ( 0.388,  0.097)
330. Latent  460:  0.291 ( 0.291,  0.000)
331. Latent  511:  0.291 ( 0.448,  0.157)
332. Latent 1445:  0.291 ( 0.354,  0.063)
333. Latent 1446:  0.291 ( 0.306,  0.015)
334. Latent   66:  0.287 ( 0.340,  0.052)
335. Latent  480:  0.287 ( 0.425,  0.138)
336. Latent  604:  0.287 ( 0.336,  0.049)
337. Latent  993:  0.287 ( 0.287,  0.000)
