Top 500 latents with highest separation scores (ascending order):
Format: Latent_idx: Score (f_suffix, f_original)
315. Latent 1036:  0.250 ( 0.250,  0.000)
316. Latent 1255:  0.250 ( 0.570,  0.320)
317. Latent 1359:  0.250 ( 0.250,  0.000)
318. Latent 1432:  0.250 ( 0.500,  0.250)
319. Latent 1465:  0.250 ( 0.320,  0.070)
320. Latent 1493:  0.250 ( 0.250,  0.000)
321. Latent 1500:  0.250 ( 0.250,  0.000)
322. Latent 1915:  0.250 ( 0.280,  0.030)
323. Latent 1919:  0.250 ( 0.250,  0.000)
324. Latent 1929:  0.250 ( 0.510,  0.260)
325. Latent 1936:  0.250 ( 0.280,  0.030)
326. Latent  211:  0.250 ( 0.260,  0.010)
327. Latent  318:  0.250 ( 0.260,  0.010)
328. Latent 1310:  0.250 ( 0.260,  0.010)
329. Latent 1342:  0.250 ( 0.330,  0.080)
330. Latent  242:  0.240 ( 0.780,  0.540)
331. Latent  297:  0.240 ( 0.340,  0.100)
332. Latent  359:  0.240 ( 0.340,  0.100)
333. Latent  863:  0.240 ( 0.280,  0.040)
334. Latent  904:  0.240 ( 0.280,  0.040)
335. Latent 1151:  0.240 ( 0.280,  0.040)
336. Latent 1890:  0.240 ( 0.310,  0.070)
337. Latent  290:  0.240 ( 0.260,  0.020)
338. Latent  306:  0.240 ( 0.260,  0.020)
339. Latent  553:  0.240 ( 0.290,  0.050)
340. Latent  918:  0.240 ( 0.250,  0.010)
341. Latent 1070:  0.240 ( 0.240,  0.000)
342. Latent 1344:  0.240 ( 0.240,  0.000)
343. Latent 1373:  0.240 ( 0.250,  0.010)
344. Latent 1810:  0.240 ( 0.240,  0.000)
345. Latent  381:  0.240 ( 0.710,  0.470)
346. Latent 1186:  0.240 ( 0.300,  0.060)
347. Latent 1258:  0.240 ( 0.270,  0.030)
348. Latent  720:  0.230 ( 0.960,  0.730)
349. Latent  198:  0.230 ( 0.250,  0.020)
350. Latent  332:  0.230 ( 0.380,  0.150)
351. Latent  937:  0.230 ( 0.280,  0.050)
352. Latent 1034:  0.230 ( 0.250,  0.020)
353. Latent 1093:  0.230 ( 0.310,  0.080)
354. Latent  395:  0.230 ( 0.390,  0.160)
355. Latent  411:  0.230 ( 0.290,  0.060)
356. Latent  816:  0.230 ( 0.230,  0.000)
357. Latent 1078:  0.230 ( 0.510,  0.280)
358. Latent 1114:  0.230 ( 0.240,  0.010)
359. Latent 1389:  0.230 ( 0.230,  0.000)
360. Latent 1414:  0.230 ( 0.230,  0.000)
361. Latent 1446:  0.230 ( 0.240,  0.010)
362. Latent 1531:  0.230 ( 0.270,  0.040)
363. Latent 1697:  0.230 ( 0.230,  0.000)
364. Latent 1961:  0.230 ( 0.240,  0.010)
365. Latent 1463:  0.220 ( 0.750,  0.530)
366. Latent 1565:  0.220 ( 0.760,  0.540)
367. Latent   85:  0.220 ( 0.250,  0.030)
368. Latent  118:  0.220 ( 0.440,  0.220)
369. Latent  575:  0.220 ( 0.220,  0.000)
370. Latent  589:  0.220 ( 0.220,  0.000)
371. Latent  954:  0.220 ( 0.260,  0.040)
372. Latent  970:  0.220 ( 0.260,  0.040)
373. Latent 1107:  0.220 ( 0.450,  0.230)
374. Latent 1201:  0.220 ( 0.220,  0.000)
375. Latent 1370:  0.220 ( 0.240,  0.020)
376. Latent 1547:  0.220 ( 0.220,  0.000)
377. Latent 1599:  0.220 ( 0.220,  0.000)
378. Latent 1653:  0.220 ( 0.320,  0.100)
379. Latent 1725:  0.220 ( 0.570,  0.350)
380. Latent 1829:  0.220 ( 0.240,  0.020)
381. Latent  281:  0.220 ( 0.230,  0.010)
382. Latent  378:  0.220 ( 0.230,  0.010)
383. Latent  653:  0.220 ( 0.230,  0.010)
384. Latent 1134:  0.220 ( 0.300,  0.080)
385. Latent 1760:  0.220 ( 0.400,  0.180)
386. Latent 1223:  0.220 ( 0.840,  0.620)
387. Latent   24:  0.210 ( 0.510,  0.300)
388. Latent  801:  0.210 ( 0.250,  0.040)
389. Latent 1320:  0.210 ( 0.250,  0.040)
390. Latent 1833:  0.210 ( 0.280,  0.070)
391. Latent 1863:  0.210 ( 0.310,  0.100)
392. Latent 1942:  0.210 ( 0.310,  0.100)
393. Latent   23:  0.210 ( 0.260,  0.050)
394. Latent   69:  0.210 ( 0.210,  0.000)
395. Latent   79:  0.210 ( 0.240,  0.030)
396. Latent  234:  0.210 ( 0.360,  0.150)
397. Latent  461:  0.210 ( 0.320,  0.110)
398. Latent  513:  0.210 ( 0.230,  0.020)
399. Latent  651:  0.210 ( 0.210,  0.000)
400. Latent  902:  0.210 ( 0.230,  0.020)
401. Latent  935:  0.210 ( 0.210,  0.000)
402. Latent 1024:  0.210 ( 0.210,  0.000)
403. Latent 1428:  0.210 ( 0.210,  0.000)
404. Latent 1561:  0.210 ( 0.210,  0.000)
405. Latent 1566:  0.210 ( 0.230,  0.020)
406. Latent 1768:  0.210 ( 0.380,  0.170)
407. Latent 1837:  0.210 ( 0.290,  0.080)
408. Latent 1921:  0.210 ( 0.220,  0.010)
409. Latent 1944:  0.210 ( 0.210,  0.000)
410. Latent 1965:  0.210 ( 0.290,  0.080)
411. Latent  350:  0.210 ( 0.270,  0.060)
412. Latent  948:  0.210 ( 0.670,  0.460)
413. Latent  124:  0.200 ( 0.630,  0.430)
414. Latent   52:  0.200 ( 0.220,  0.020)
415. Latent  784:  0.200 ( 0.220,  0.020)
416. Latent 1361:  0.200 ( 0.220,  0.020)
417. Latent 1744:  0.200 ( 0.280,  0.080)
418. Latent 1865:  0.200 ( 0.250,  0.050)
419. Latent 1993:  0.200 ( 0.220,  0.020)
420. Latent 1998:  0.200 ( 0.220,  0.020)
421. Latent  127:  0.200 ( 0.260,  0.060)
422. Latent  141:  0.200 ( 0.210,  0.010)
423. Latent  686:  0.200 ( 0.300,  0.100)
424. Latent  992:  0.200 ( 0.230,  0.030)
425. Latent 1143:  0.200 ( 0.970,  0.770)
426. Latent 1177:  0.200 ( 0.200,  0.000)
427. Latent 1305:  0.200 ( 0.230,  0.030)
428. Latent 1308:  0.200 ( 0.200,  0.000)
429. Latent 1643:  0.200 ( 0.200,  0.000)
430. Latent 1704:  0.200 ( 0.400,  0.200)
431. Latent 1737:  0.200 ( 0.300,  0.100)
432. Latent 1950:  0.200 ( 0.230,  0.030)
433. Latent 1990:  0.200 ( 0.320,  0.120)
434. Latent 2035:  0.200 ( 0.210,  0.010)
435. Latent 1499:  0.200 ( 0.540,  0.340)
436. Latent 1564:  0.190 ( 0.340,  0.150)
437. Latent   73:  0.190 ( 0.240,  0.050)
438. Latent  115:  0.190 ( 0.250,  0.060)
439. Latent  154:  0.190 ( 0.190,  0.000)
440. Latent  245:  0.190 ( 0.190,  0.000)
441. Latent  280:  0.190 ( 0.280,  0.090)
442. Latent  291:  0.190 ( 0.280,  0.090)
443. Latent  321:  0.190 ( 0.460,  0.270)
444. Latent  348:  0.190 ( 0.420,  0.230)
445. Latent  355:  0.190 ( 0.240,  0.050)
446. Latent  357:  0.190 ( 0.260,  0.070)
447. Latent  377:  0.190 ( 0.190,  0.000)
448. Latent  386:  0.190 ( 0.190,  0.000)
449. Latent  457:  0.190 ( 0.250,  0.060)
450. Latent  460:  0.190 ( 0.190,  0.000)
451. Latent  481:  0.190 ( 0.190,  0.000)
452. Latent  793:  0.190 ( 0.640,  0.450)
453. Latent  930:  0.190 ( 0.230,  0.040)
454. Latent  950:  0.190 ( 0.260,  0.070)
455. Latent  958:  0.190 ( 0.190,  0.000)
456. Latent 1009:  0.190 ( 0.190,  0.000)
457. Latent 1252:  0.190 ( 0.260,  0.070)
458. Latent 1261:  0.190 ( 0.190,  0.000)
459. Latent 1317:  0.190 ( 0.250,  0.060)
460. Latent 1621:  0.190 ( 0.260,  0.070)
461. Latent 1650:  0.190 ( 0.190,  0.000)
462. Latent 1651:  0.190 ( 0.250,  0.060)
463. Latent 1769:  0.190 ( 0.210,  0.020)
464. Latent 1962:  0.190 ( 0.910,  0.720)
465. Latent 2044:  0.190 ( 0.190,  0.000)
466. Latent 1615:  0.190 ( 0.400,  0.210)
467. Latent 2005:  0.190 ( 0.300,  0.110)
468. Latent  144:  0.180 ( 0.690,  0.510)
469. Latent  667:  0.180 ( 0.220,  0.040)
470. Latent  868:  0.180 ( 0.280,  0.100)
471. Latent 1067:  0.180 ( 0.880,  0.700)
472. Latent 1196:  0.180 ( 0.470,  0.290)
473. Latent 1340:  0.180 ( 0.220,  0.040)
474. Latent 1629:  0.180 ( 0.280,  0.100)
475. Latent  250:  0.180 ( 0.210,  0.030)
476. Latent  251:  0.180 ( 0.180,  0.000)
477. Latent  270:  0.180 ( 0.260,  0.080)
478. Latent  295:  0.180 ( 0.240,  0.060)
479. Latent  393:  0.180 ( 0.180,  0.000)
480. Latent  490:  0.180 ( 0.240,  0.060)
481. Latent  511:  0.180 ( 0.330,  0.150)
482. Latent  628:  0.180 ( 0.180,  0.000)
483. Latent  684:  0.180 ( 0.230,  0.050)
484. Latent  946:  0.180 ( 0.180,  0.000)
485. Latent 1496:  0.180 ( 0.180,  0.000)
486. Latent 1780:  0.180 ( 0.230,  0.050)
487. Latent 1999:  0.180 ( 0.200,  0.020)
488. Latent  504:  0.170 ( 0.370,  0.200)
489. Latent 1182:  0.170 ( 0.870,  0.700)
490. Latent  122:  0.170 ( 0.170,  0.000)
491. Latent  279:  0.170 ( 0.170,  0.000)
492. Latent  535:  0.170 ( 0.280,  0.110)
493. Latent  635:  0.170 ( 0.250,  0.080)
494. Latent  636:  0.170 ( 0.170,  0.000)
495. Latent  666:  0.170 ( 0.170,  0.000)
496. Latent 1091:  0.170 ( 0.170,  0.000)
497. Latent 1217:  0.170 ( 0.350,  0.180)
498. Latent 1409:  0.170 ( 0.170,  0.000)
499. Latent 1509:  0.170 ( 0.170,  0.000)
500. Latent 1811:  0.170 ( 0.170,  0.000)

Top 500 latents with lowest separation scores (descending order):
Format: Latent_idx: Score (f_suffix, f_original)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1. Latent 1231: -0.620 ( 0.070,  0.690)
2. Latent  398: -0.610 ( 0.280,  0.890)
3. Latent  747: -0.460 ( 0.230,  0.690)
4. Latent  897: -0.450 ( 0.130,  0.580)
5. Latent 1247: -0.430 ( 0.160,  0.590)
6. Latent 1270: -0.410 ( 0.090,  0.500)
7. Latent 1554: -0.390 ( 0.220,  0.610)
8. Latent  286: -0.390 ( 0.130,  0.520)
9. Latent  899: -0.370 ( 0.230,  0.600)
10. Latent 1514: -0.370 ( 0.020,  0.390)
11. Latent 1910: -0.360 ( 0.150,  0.510)
12. Latent 1934: -0.360 ( 0.130,  0.490)
